game_id,game_provider_id,provider,name_en,site_cat,eff_weight,ov_weight,ov_featured,is_enabled,device,reason
38,1065,,Mega Wild Safari,slot,9943,,,1,"d,m",厂商名脏数据()
45,1085,,Bounty Fishing,fishing,9943,,,0,"d,m",厂商名脏数据()
49,1099,0,6-Min Speed ??Matka,lottery,9943,,,1,"d,m",厂商名脏数据(0)
50,1099,0,1Min Fast Matka,lottery,9942,,,1,"d,m",厂商名脏数据(0)
18,1085,,Honor of Kings,slot,9941,,,0,"d,m",厂商名脏数据()
51,1099,0,3Min Fast Matka,lottery,9941,,,1,"d,m",厂商名脏数据(0)
22,1085,,Candy Crush Saga,slot,9940,,,0,"d,m",厂商名脏数据()
52,1099,0,1Min Color Game,perya,9940,,,1,"d,m",厂商名脏数据(0)
36,1065,,Adventures Of Caramelo,slot,9939,,,1,d/m,厂商名脏数据()
23,1085,,Crazy Diamonds,slot,9939,,,0,"d,m",厂商名脏数据()
53,1099,0,3Min Color Game,perya,9939,,,1,"d,m",厂商名脏数据(0)
24,1085,,Wealth is Coming,slot,9938,,,0,"d,m",厂商名脏数据()
54,1099,0,1 Min 7 Up 7 Down,lottery,9938,,,1,"d,m",厂商名脏数据(0)
28,1085,,Zeus,slot,9937,,,0,"d,m",厂商名脏数据()
55,1099,0,3Min 7Up7Down,lottery,9937,,,1,"d,m",厂商名脏数据(0)
29,1085,,Gold Miner,slot,9936,,,0,"d,m",厂商名脏数据()
56,1099,0,NIFTY 50 Matka,lottery,9936,,,1,"d,m",厂商名脏数据(0)
30,1085,,Emperor Qin Shi Huang,slot,9935,,,0,"d,m",厂商名脏数据()
57,1099,0,Nifty Bank Matka,lottery,9935,,,1,"d,m",厂商名脏数据(0)
32,1085,,Tiki Totem,slot,9934,,,0,"d,m",厂商名脏数据()
58,1099,0,BSE MIDCAP Matka,lottery,9934,,,1,"d,m",厂商名脏数据(0)
59,1099,0,BSE Smallcap Matka,lottery,9933,,,1,"d,m",厂商名脏数据(0)
60,1099,0,KERALA 3D Game,lottery,9932,,,1,"d,m",厂商名脏数据(0)
61,1099,0,KERALA 4D Game,lottery,9931,,,1,"d,m",厂商名脏数据(0)
62,1099,0,KERALA 5D Game,lottery,9930,,,1,"d,m",厂商名脏数据(0)
63,1099,0,DEAR 1PM 3D Game,lottery,9929,,,1,"d,m",厂商名脏数据(0)
72,1082,,Dim Sum Fortune,slot,9928,,,0,d/m,厂商名脏数据()
64,1099,0,DEAR 1PM 4D Game,lottery,9928,,,1,"d,m",厂商名脏数据(0)
73,1082,,Choco Rush,slot,9927,,,0,d/m,厂商名脏数据()
65,1099,0,DEAR 1PM 5D Game,lottery,9927,,,1,"d,m",厂商名脏数据(0)
74,1082,,Moonlight Princess,slot,9926,,,0,d/m,厂商名脏数据()
66,1099,0,DEAR 6PM 3D Game,lottery,9926,,,1,"d,m",厂商名脏数据(0)
67,1099,0,DEAR 6PM 4D Game,lottery,9925,,,1,"d,m",厂商名脏数据(0)
