id,gameId,name,platformName,gameType,imageUrl,localImage
"14302","101012","Super Gems Wheel","OMNIPLAY","5","https://pub.imgscache.com/compic/c5248021-0f83-4da6-8142-50b087967446.webp","images/OMNIPLAY__Super_Gems_Wheel__14302.webp"
"13505","blood-club","Blood Club","PNS","5","https://pub.imgscache.com/compic/e2297c0f-144a-4d54-9e12-045cb5a05aa7.webp","images/PNS__Blood_Club__13505.webp"
"10827","24hourgrandprix0","24 Hour Grand Prix","REDTIGER","5","https://pub.imgscache.com/compic/2663d09c-de5f-4454-ab64-bfe62429f667.webp","images/REDTIGER__24_Hour_Grand_Prix__10827.webp"
"12723","201056","Cubes","HACKSAW","5","https://pub.imgscache.com/compic/a77a5f1b-b3bd-4bf3-b714-9d77094263c6.webp","images/HACKSAW__Cubes__12723.webp"
"11006","96","Football Baby","CQ9","5","https://pub.imgscache.com/compic/398b8354-1eba-4c9d-980a-6f4e85ba74fe.webp","images/CQ9__Football_Baby__11006.webp"
"13278","110224","Goddess Of The Night Bonus Buy","EVOPLAY","5","https://pub.imgscache.com/compic/84920228-2aea-41ab-8ab9-a8a09991b14f.webp","images/EVOPLAY__Goddess_Of_The_Night_Bonus_Buy__13278.webp"
"10819","fruitshopr400000","Fruit Shop","NETENT","5","https://pub.imgscache.com/compic/2adb8802-7f1e-4789-bb1f-13e0ea13d98b.webp","images/NETENT__Fruit_Shop__10819.webp"
"13370","410063","Forty Fruity Million","BGAMING","5","https://pub.imgscache.com/compic/1c2a71b6-896b-47cd-a046-e053b604bf9d.webp","images/BGAMING__Forty_Fruity_Million__13370.webp"
"10619","SGAzlandsGold","Aztlan's Gold","HBN","5","https://pub.imgscache.com/compic/a70da34f-e1cc-4bdb-a1f7-854ec265cf0d.webp","images/HBN__Aztlan_s_Gold__10619.webp"
"14093","PSS-ON-00073","Moon Festival","PLAYSTAR","5","https://pub.imgscache.com/compic/7967cae1-8b7a-4a4b-9662-3c00fb73f22e.webp","images/PLAYSTAR__Moon_Festival__14093.webp"
"14272","hilol;hilo_hilowestern","Live Hi-Lo Western","PT","17","https://pub.imgscache.com/compic/19087f48-fe1d-4179-9c76-6d1f80ea0fdf.webp","images/PT__Live_Hi-Lo_Western__14272.webp"
"13716","QuadrupleDragons","Quadruple Dragons","KA GAMING","5","https://pub.imgscache.com/compic/fad86685-f7b6-42a4-87fe-7cd1026287d9.webp","images/KA_GAMING__Quadruple_Dragons__13716.webp"
"11563","1_69","Xian Xia","TPG","5","https://pub.imgscache.com/compic/3e54f602-d11a-4788-ae40-2eac32934c34.webp","images/TPG__Xian_Xia__11563.webp"
"13366","410166","Forgotten","BGAMING","5","https://pub.imgscache.com/compic/fed92a7d-34b9-45ee-904e-672c85574044.webp","images/BGAMING__Forgotten__13366.webp"
"13243","110061","Animal Quest","EVOPLAY","5","https://pub.imgscache.com/compic/52006e69-f2eb-475e-82db-56db50d6ce63.webp","images/EVOPLAY__Animal_Quest__13243.webp"
"11005","95","Football Boots","CQ9","5","https://pub.imgscache.com/compic/ad125f78-23ca-45eb-9dd0-26d4794155c2.webp","images/CQ9__Football_Boots__11005.webp"
"12976","vs20gravity","Gravity Bonanza™","PP","5","https://pub.imgscache.com/compic/b9023cb8-ed28-472a-9783-722277badf9e.webp","images/PP__Gravity_Bonanza__12976.webp"
"13646","prstl;prstl_bustedorbailed","Busted or Bailed","PT","17","https://pub.imgscache.com/compic/20283246-f115-47b9-9d27-b2554dae8584.webp","images/PT__Busted_or_Bailed__13646.webp"
"12861","216","Xoc Dia","CQ9","3","https://pub.imgscache.com/compic/df96e94c-5d15-4f1d-b560-4a6063fa6906.webp","images/CQ9__Xoc_Dia__12861.webp"
"12736","201169","Forest Fortune","HACKSAW","5","https://pub.imgscache.com/compic/733844e2-a151-44f9-b585-717a1f043c80.webp","images/HACKSAW__Forest_Fortune__12736.webp"
"11924","gaelicgolddx1000","Gaelic Gold","NLC","5","https://pub.imgscache.com/compic/33ee45de-e76e-4978-98fe-58d47cc42e06.webp","images/NLC__Gaelic_Gold__11924.webp"
"14113","StandAloneMinesPM","Pinoy Mines","GEMH","8","https://pub.imgscache.com/compic/6ba90496-9641-4dd8-bc4a-a596fc8e615d.webp","images/GEMH__Pinoy_Mines__14113.webp"
"13333","110208","Wonder Farm","EVOPLAY","5","https://pub.imgscache.com/compic/b773f9a4-728f-488b-a50b-329d2a907354.webp","images/EVOPLAY__Wonder_Farm__13333.webp"
"12588","castleofterrorv1","Castle of Terror","BTG","5","https://pub.imgscache.com/compic/3612268b-4738-4fbd-916a-ae64efe9aeae.webp","images/BTG__Castle_of_Terror__12588.webp"
"10734","1_80","Blooming Riches","TPG","5","https://pub.imgscache.com/compic/930558b5-3ec5-4bc4-87c3-17530fda67ae.webp","images/TPG__Blooming_Riches__10734.webp"
"14275","qabjlp;qabjl_quantumbj","Quantum Blackjack Plus Live","PT","17","https://pub.imgscache.com/compic/1227a7f1-57f7-47f2-8419-dabdbbe00526.webp","images/PT__Quantum_Blackjack_Plus_Live__14275.webp"
"13430","410176","Winter Fishing Club","BGAMING","3","https://pub.imgscache.com/compic/1a9fa423-83a6-43b4-9113-3ef12897377d.webp","images/BGAMING__Winter_Fishing_Club__13430.webp"
"13036","7eml;7eml_7emezzo","Sette E Mezzo","PT","17","https://pub.imgscache.com/compic/943da8f5-f3cb-4295-bee7-8a6d9c189e03.webp","images/PT__Sette_E_Mezzo__13036.webp"
"13316","110111","Temple of Dead","EVOPLAY","5","https://pub.imgscache.com/compic/e629cddb-7cda-4c30-ad38-200c502d83a1.webp","images/EVOPLAY__Temple_of_Dead__13316.webp"
"12894","055","Lucky Doll","YGR","5","https://pub.imgscache.com/compic/357646de-a1d3-4e17-b17b-6765efcbe8a2.webp","images/YGR__Lucky_Doll__12894.webp"
"13649","ThreeMonkeys","3x Monkeys","KA GAMING","5","https://pub.imgscache.com/compic/00fb1570-9b86-4575-ac5b-c6d5c3406712.webp","images/KA_GAMING__3x_Monkeys__13649.webp"
