id,name,provider,rank,categories,imageUrl,localImage
"15","Dragon Link","","15","Slot Machines","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/170/osm8.webp","images/unknown__Dragon_Link__15.webp"
"16","Dragon Tiger","","16","Live","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/185/dragontigerH5.webp","images/unknown__Dragon_Tiger__16.webp"
"17","Jin Ji Bao Xi","","17","Slot Machines","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/170/osm14.webp","images/unknown__Jin_Ji_Bao_Xi__17.webp"
"18","Sugar Bang Bang 2","","18","High Cash Rebate|Slots","https://cp-images.casinoplus.live/images/cpms/26-07/3043_22071_h5_260701205325.webp","images/unknown__Sugar_Bang_Bang_2__18.webp"
"19","Black Jack","","19","RTP98|Live","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/3007/21blackjack_v2.webp","images/unknown__Black_Jack__19.webp"
"20","DFDC Grand","","20","Slot Machines","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/170/osm7.webp","images/unknown__DFDC_Grand__20.webp"
"21","Fruity Bonanza Combo","JDB","21","Slots","https://cp-images.casinoplus.live/images/cpms/jdb/mobile/0_14098.webp","images/JDB__Fruity_Bonanza_Combo__21.webp"
"22","Pai Gow Poker","","22","Live","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/3013/Paigow.webp","images/unknown__Pai_Gow_Poker__22.webp"
"23","Lion","","23","Slot Machines","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/170/osm20.webp","images/unknown__Lion__23.webp"
"24","Lightning Roulette","EGS","24","Live","https://cp-images.casinoplus.live/images/cpms/egs/mobile/LightningTable01.webp","images/EGS__Lightning_Roulette__24.webp"
"25","Royal Ace","","25","Slots","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/3089/h5/1032.webp","images/unknown__Royal_Ace__25.webp"
"26","Slot Machine","","26","Slot Machines","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/170/osm24.webp","images/unknown__Slot_Machine__26.webp"
"27","Dragon Gems","","27","High Cash Rebate|Slots","https://cp-images.casinoplus.live/images/cpms/26-07/3089_1046_h5_260701202206.webp","images/unknown__Dragon_Gems__27.webp"
"28","₱0.1 DuoFuDuoCai","","28","Slot Machines","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/170/osm32.webp","images/unknown__0.1_DuoFuDuoCai__28.webp"
"29","SicBo","","29","Live|Slots","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/5000/220x280.webp","images/unknown__SicBo__29.webp"
